id,Name,shirt_number,Position,Age,Ht (cm),Wt(Kg),national_id,Country
CZ-FW-AH22,Adam Hložek,9,FW,22,188,84,CZ,Czechia
CZ-FW-LP27,Lukáš Provod,14,FW,27,188,-,CZ,Czechia
CZ-FW-MC25,Mojmír Chytil,13,FW,25,185,82,CZ,Czechia
CZ-FW-MJ20,Matěj Jurásek,12,FW,20,180,-,CZ,Czechia
CZ-FW-PS28,Patrik Schick,10,FW,28,191,87,CZ,Czechia
CZ-FW-TC29,Tomáš Chorý,19,FW,29,198,102,CZ,Czechia
CZ-GK-JS28,Jindřich Staněk,1,GK,28,191,93,CZ,Czechia
CZ-GK-MK24,Matěj Kovář,16,GK,24,183,77,CZ,Czechia
CZ-GK-VJ23,Vítězslav Jaroš,23,GK,23,185,73,CZ,Czechia
CZ-MF-AB29,Antonín Barák,7,MF,29,188,86,CZ,Czechia
CZ-MF-LK25,Ladislav Krejčí II,4,MF,25,191,70,CZ,Czechia
CZ-MF-MS25,Michal Sadílek,8,MF,25,168,65,CZ,Czechia
CZ-MF-OL25,Ondřej Lingr,20,MF,25,173,70,CZ,Czechia
CZ-MF-PS23,Pavel Šulc,11,MF,23,175,70,CZ,Czechia
CZ-MF-TH31,Tomáš Holeš,3,MF,31,178,73,CZ,Czechia
CZ-MF-TS29,Tomáš Souček,22,MF,29,191,86,CZ,Czechia
DE-DF-AR31,Antonio Rüdiger,2,DF,31,188,85,DE,Germany
DE-DF-BH27,Benjamin Henrichs,16,DF,27,183,79,DE,Germany
DE-DF-DR26,David Raum,22,DF,26,178,75,DE,Germany
DE-DF-JT28,Jonathan Tah,4,DF,28,193,94,DE,Germany
DE-DF-MH35,Mats Hummels,5,DF,35,191,94,DE,Germany
DE-DF-MT22,Malick Thiaw,3,DF,22,193,89,DE,Germany
DE-DF-NS28,Niklas Süle,15,DF,28,193,97,DE,Germany
DE-FW-LS28,Leroy Sané,19,FW,28,183,80,DE,Germany
DE-FW-MD30,Marvin Ducksch,20,FW,30,188,79,DE,Germany
DE-FW-NF31,Niclas Füllkrug,9,FW,31,188,78,DE,Germany
DE-FW-SG29,Serge Gnabry,10,FW,29,175,77,DE,Germany
DE-FW-TM34,Thomas Müller,13,FW,34,183,76,DE,Germany
DE-GK-JB33,Janis Blaswich,24,GK,33,191,88,DE,Germany
DE-GK-KT34,Kevin Trapp,12,GK,34,188,88,DE,Germany
DE-GK-Mt32,Marc-André ter Stegen,1,GK,32,185,85,DE,Germany
DE-GK-OB34,Oliver Baumann,26,GK,34,185,82,DE,Germany
DE-MF-CF26,Chris Führich,25,MF,26,180,70,DE,Germany
DE-MF-FN23,Felix Nmecha,8,MF,23,188,73,DE,Germany
DE-MF-FW21,Florian Wirtz,17,MF,21,175,71,DE,Germany
DE-MF-GP29,Grischa Prömel,3,MF,29,178,75,DE,Germany
DE-MF-İG33,İlkay Gündoğan,21,MF,33,178,79,DE,Germany
DE-MF-JB28,Julian Brandt,11,MF,28,183,83,DE,Germany
DE-MF-JH32,Jonas Hofmann,18,MF,32,175,72,DE,Germany
DE-MF-JK29,Joshua Kimmich,6,MF,29,175,75,DE,Germany
DE-MF-KH25,Kai Havertz,7,MF,25,188,77,DE,Germany
DE-MF-LG29,Leon Goretzka,8,MF,29,188,82,DE,Germany
DE-MF-PG33,Pascal Groß,14,MF,33,180,78,DE,Germany
DE-MF-RA29,Robert Andrich,23,MF,29,185,85,DE,Germany
DK-DF-AB26,Alexander Bah,18,DF,26,183,76,DK,Denmark
DK-DF-AC28,Andreas Christensen,6,DF,28,191,82,DK,Denmark
DK-DF-EJ21,Elias Jelert Kristensen,26,DF,21,178,-,DK,Denmark
DK-DF-JA28,Joachim Andersen,2,DF,28,191,87,DK,Denmark
DK-DF-JM27,Joakim Mæhle,5,DF,27,183,79,DK,Denmark
DK-DF-JR27,Jacob Rasmussen,6,DF,27,188,81,DK,Denmark
DK-DF-JV32,Jannik Vestergaard,3,DF,32,198,98,DK,Denmark
DK-DF-MR25,Mads Roerslev Rasmussen,18,DF,25,175,72,DK,Denmark
DK-DF-SK35,Simon Kjær,4,DF,35,191,86,DK,Denmark
DK-DF-VK21,Victor Kristiansen,17,DF,21,180,-,DK,Denmark
DK-DF-VN25,Victor Nelsson,13,DF,25,183,78,DK,Denmark
DK-FW-AS24,Andreas Skov Olsen,11,FW,24,185,79,DK,Denmark
DK-FW-JW25,Jonas Wind,19,FW,25,188,82,DK,Denmark
DK-FW-KD26,Kasper Dolberg,12,FW,26,185,82,DK,Denmark
DK-FW-MD22,Mohammed Daramy,11,FW,22,180,-,DK,Denmark
DK-FW-MD24,Mikkel Damsgaard,14,FW,24,178,70,DK,Denmark
DK-FW-RH21,Rasmus Højlund,9,FW,21,191,-,DK,Denmark
DK-FW-YP30,Yussuf Poulsen,20,FW,30,191,84,DK,Denmark
DK-GK-AH29,Andreas Hansen,1,GK,29,183,70,DK,Denmark
DK-GK-FR32,Frederik Ronnow,22,GK,32,188,77,DK,Denmark
DK-GK-KS37,Kasper Schmeichel,1,GK,37,188,89,DK,Denmark
DK-GK-MH24,Mads Hermansen,16,GK,24,185,78,DK,Denmark
DK-MF-AD26,Anders Dreyer,24,MF,26,173,69,DK,Denmark
DK-MF-CE32,Christian Eriksen,10,MF,32,180,65,DK,Denmark
DK-MF-CN30,Christian Nørgaard,15,MF,30,185,77,DK,Denmark
DK-MF-GI23,Gustav Isaksen,25,MF,23,178,68,DK,Denmark
DK-MF-MH25,Morten Hjulmand,21,MF,25,183,77,DK,Denmark
DK-MF-MJ28,Mathias Jensen,7,MF,28,178,68,DK,Denmark
DK-MF-MO23,Matt O'Riley,15,MF,23,185,-,DK,Denmark
DK-MF-PH29,Pierre-Emile Højbjerg,23,MF,29,185,84,DK,Denmark
DK-MF-TD33,Thomas Delaney,8,MF,33,178,79,DK,Denmark
ENG-DF-BC27,Ben Chilwell,3,DF,27,178,71,ENG,England
ENG-DF-EK26,Ezri Konsa,2,DF,26,183,77,ENG,England
ENG-DF-HM31,Harry Maguire,6,DF,31,191,100,ENG,England
ENG-DF-JG27,Joe Gomez,12,DF,27,188,77,ENG,England
ENG-DF-JS30,John Stones,5,DF,30,188,70,ENG,England
ENG-DF-KW34,Kyle Walker,2,DF,34,178,70,ENG,England
ENG-DF-LD32,Lewis Dunk,6,DF,32,191,77,ENG,England
ENG-DF-RL19,Rico Lewis,16,DF,19,169,-,ENG,England
ENG-FW-HK31,Harry Kane,20,FW,31,188,65,ENG,England
ENG-FW-IT28,Ivan Toney,17,FW,28,178,70,ENG,England
ENG-FW-JB27,Jarrod Bowen,18,FW,27,173,70,ENG,England
ENG-FW-MR26,Marcus Rashford,19,FW,26,178,70,ENG,England
ENG-FW-OW28,Ollie Watkins,9,FW,28,178,70,ENG,England
ENG-GK-AR26,Aaron Ramsdale,13,GK,26,188,77,ENG,England
ENG-GK-JP30,Jordan Pickford,1,GK,30,183,77,ENG,England
ENG-GK-JT21,James Trafford,22,GK,21,192,-,ENG,England
ENG-GK-SJ31,Sam Johnstone,13,GK,31,191,80,ENG,England
ENG-MF-AG23,Anthony Gordon,11,MF,23,173,65,ENG,England
ENG-MF-BS22,Bukayo Saka,7,MF,22,178,65,ENG,England
ENG-MF-CG24,Conor Gallagher,8,MF,24,183,74,ENG,England
ENG-MF-CP22,Cole Palmer,23,MF,22,180,-,ENG,England
ENG-MF-DR25,Declan Rice,4,MF,25,183,80,ENG,England
ENG-MF-JB21,Jude Bellingham,10,MF,21,185,75,ENG,England
ENG-MF-JB22,Jarrad Branthwaite,15,MF,22,193,-,ENG,England
ENG-MF-JH34,Jordan Henderson,14,MF,34,183,67,ENG,England
ENG-MF-JM27,James Maddison,20,MF,27,173,73,ENG,England
ENG-MF-KM19,Kobbie Mainoo,21,MF,19,173,-,ENG,England
ENG-MF-PF24,Phil Foden,7,MF,24,178,70,ENG,England
ES-DF-AG28,Alex Grimaldo,3,DF,28,170,68,ES,Spain
ES-DF-AL30,Aymeric Laporte,14,DF,30,188,87,ES,Spain
ES-DF-DC32,Dani Carvajal,20,DF,32,173,73,ES,Spain
ES-DF-DV25,Dani Vivian,25,DF,25,183,82,ES,Spain
ES-DF-JN38,Jesús Navas,22,DF,38,170,60,ES,Spain
ES-DF-MC26,Marc Cucurella,2,DF,26,170,66,ES,Spain
ES-DF-PC-,Pau Cubarsi Paredes,26,DF,-,184,-,ES,Spain
ES-DF-PP24,Pedro Porro,24,DF,24,173,71,ES,Spain
ES-DF-RL27,Robin Le Normand,5,DF,27,185,80,ES,Spain
ES-FW-ÁM31,Álvaro Morata,7,FW,31,188,84,ES,Spain
ES-FW-GM32,Gerard Moreno,9,FW,32,178,77,ES,Spain
ES-FW-LY17,Lamine Yamal Nasraqui Ebana,19,FW,17,178,-,ES,Spain
ES-FW-MJ34,Mato Joselu,12,FW,34,191,80,ES,Spain
ES-FW-MO27,Mikel Oyarzabal,21,FW,27,180,78,ES,Spain
ES-FW-NW22,Nico Williams,11,FW,22,180,67,ES,Spain
ES-FW-PS32,Pablo Sarabia,17,FW,32,178,70,ES,Spain
ES-GK-AR29,Alex Remiro,13,GK,29,191,79,ES,Spain
ES-GK-DR28,David Raya,1,GK,28,183,80,ES,Spain
ES-GK-US27,Unai Simón,23,GK,27,188,88,ES,Spain
ES-MF-AB23,Alex Baena,15,MF,23,173,-,ES,Spain
ES-MF-DO26,Dani Olmo,10,MF,26,178,72,ES,Spain
ES-MF-FR28,Fabián Ruiz,8,MF,28,188,70,ES,Spain
ES-MF-MM28,Mikel Merino,6,MF,28,188,83,ES,Spain
ES-MF-MZ25,Martín Zubimendi,4,MF,25,178,74,ES,Spain
ES-MF-OS24,Oihan Sancet,18,MF,24,188,72,ES,Spain
ES-MF-R28,Rodri,16,MF,28,188,78,ES,Spain
FR-DF-BP28,Benjamin Pavard,2,DF,28,185,81,FR,France
FR-DF-DU25,Dayot Upamecano,4,DF,25,185,90,FR,France
FR-DF-IK25,Ibrahima Konaté,13,DF,25,193,84,FR,France
FR-DF-JC31,Jonathan Clauss,3,DF,31,178,67,FR,France
FR-DF-JK25,Jules Koundé,5,DF,25,178,70,FR,France
FR-DF-LH28,Lucas Hernández,21,DF,28,183,79,FR,France
FR-DF-TH26,Theo Hernández,22,DF,26,183,81,FR,France
FR-DF-WS23,William Saliba,17,DF,23,191,83,FR,France
FR-FW-AG33,Antoine Griezmann,7,FW,33,173,73,FR,France
FR-FW-KM25,Kylian Mbappé,10,FW,25,178,73,FR,France
FR-FW-MD25,Moussa Diaby,20,FW,25,168,67,FR,France
FR-FW-MT27,Marcus Thuram,15,FW,27,191,90,FR,France
FR-FW-OD27,Ousmane Dembélé,11,FW,27,178,67,FR,France
FR-FW-OG37,Olivier Giroud,9,FW,37,191,91,FR,France
FR-FW-RK25,Randal Kolo Muani,12,FW,25,185,73,FR,France
FR-GK-AA31,Alphonse Areola,23,GK,31,193,94,FR,France
FR-GK-BS30,Brice Samba,1,GK,30,185,79,FR,France
FR-GK-MM29,Mike Maignan,16,GK,29,191,89,FR,France
FR-MF-AR29,Adrien Rabiot,14,MF,29,191,71,FR,France
FR-MF-AT24,Aurélien Tchouaméni,8,MF,24,185,80,FR,France
FR-MF-EC21,Eduardo Camavinga,6,MF,21,180,68,FR,France
FR-MF-MG25,Mattéo Guendouzi,7,MF,25,183,68,FR,France
FR-MF-WZ18,Warren Zaïre-Emery,18,MF,18,178,-,FR,France
FR-MF-YF25,Youssouf Fofana,19,MF,25,178,74,FR,France
GE-DF-GG23,Giorgi Gocholeishvili,13,DF,23,178,-,GE,Georgia
GE-DF-GG33,Giorgi Gvelesiani,15,DF,33,191,86,GE,Georgia
GE-DF-GK37,Guram Kashia,4,DF,37,183,78,GE,Georgia
GE-DF-LD29,Lasha Dvali,3,DF,29,191,80,GE,Georgia
GE-DF-LL26,Luka Lochoshvili,14,DF,26,191,84,GE,Georgia
GE-DF-OK29,Otar Kakabadze,2,DF,29,183,76,GE,Georgia
GE-DF-SK32,Saba Kverkvelia,5,DF,32,196,87,GE,Georgia
GE-DF-SS22,Saba Sazonov,15,DF,22,191,-,GE,Georgia
GE-FW-AM23,Anzor Mekvabishvili,21,FW,23,170,63,GE,Georgia
GE-FW-BZ30,Budu Zivzivadze,8,FW,30,188,81,GE,Georgia
GE-FW-GK30,Giorgi Kvilitaia,11,FW,30,191,74,GE,Georgia
GE-GK-GL38,Giorgi Loria,1,GK,38,196,85,GE,Georgia
GE-GK-GM23,Giorgi Mamardashvili,12,GK,23,198,-,GE,Georgia
GE-GK-LG25,Luka Gugeshashvili,23,GK,25,196,80,GE,Georgia
GE-MF-GC24,Giorgi Chakvetadze,10,MF,24,183,-,GE,Georgia
GE-MF-GK25,Giorgi Kochorashvili,6,MF,25,175,74,GE,Georgia
GE-MF-GM23,Georges Mikautadze,22,MF,23,175,71,GE,Georgia
GE-MF-JK38,Jaba Kankava,20,MF,38,178,75,GE,Georgia
GE-MF-KK23,Khvicha Kvaratskhelia,7,MF,23,180,70,GE,Georgia
GE-MF-LS28,Levan Shengelia,19,MF,28,183,79,GE,Georgia
GE-MF-NK32,Nika Kvekveskiri,16,MF,32,183,80,GE,Georgia
GE-MF-OK28,Otar Kiteishvili,17,MF,28,173,65,GE,Georgia
GE-MF-SA27,Sandro Altunashvili,18,MF,27,168,-,GE,Georgia
GE-MF-VM26,Vladimer Mamuchashvili,18,MF,26,175,-,GE,Georgia
GE-MF-ZD23,Zurab Davitashvili,9,MF,23,173,63,GE,Georgia
HR-DF-BS26,Borna Sosa,19,DF,26,185,79,HR,Croatia
HR-DF-DĆ27,Duje Ćaleta-Car,6,DF,27,191,89,HR,Croatia
HR-DF-DV35,Domagoj Vida,21,DF,35,183,73,HR,Croatia
HR-DF-JG22,Joško Gvardiol,4,DF,22,183,80,HR,Croatia
HR-DF-JJ29,Josip Juranović,22,DF,29,173,69,HR,Croatia
HR-DF-JS24,Josip Stanišić,2,DF,24,185,77,HR,Croatia
HR-DF-JS24,Josip Šutalo,6,DF,24,188,82,HR,Croatia
HR-DF-ME26,Martin Erlić,5,DF,26,191,78,HR,Croatia
HR-DF-MP26,Marin Pongračić,3,DF,26,188,95,HR,Croatia
HR-FW-AB33,Ante Budimir,17,FW,33,188,75,HR,Croatia
HR-FW-AK33,Andrej Kramarić,9,FW,33,175,73,HR,Croatia
HR-FW-BP29,Bruno Petković,17,FW,29,191,88,HR,Croatia
HR-FW-IP35,Ivan Perišić,,FW,35,185,77,HR,Croatia
HR-FW-MP23,Marco Pašalić,24,FW,23,175,74,HR,Croatia
HR-FW-MP29,Marko Pjaca,20,FW,29,185,83,HR,Croatia
HR-GK-DK24,Dominik Kotarski,25,GK,24,188,-,HR,Croatia
HR-GK-DL29,Dominik Livaković,1,GK,29,188,79,HR,Croatia
HR-GK-II29,Ivica Ivušić,23,GK,29,193,85,HR,Croatia
HR-GK-NL24,Nediljko Labrović,12,GK,24,196,91,HR,Croatia
HR-MF-LI25,Luka Ivanušec,18,MF,25,173,76,HR,Croatia
HR-MF-LM26,Lovro Majer,7,MF,26,178,75,HR,Croatia
HR-MF-LM39,Luka Modrić,10,MF,39,170,66,HR,Croatia
HR-MF-LS21,Luka Sučić,14,MF,21,183,80,HR,Croatia
HR-MF-MB21,Martin Baturina,8,MF,21,170,-,HR,Croatia
HR-MF-MB31,Marcelo Brozović,11,MF,31,180,68,HR,Croatia
HR-MF-MK30,Mateo Kovačić,8,MF,30,175,77,HR,Croatia
HR-MF-MP29,Mario Pašalić,15,MF,29,188,78,HR,Croatia
HR-MF-NM26,Nikola Moro,16,MF,26,183,77,HR,Croatia
HR-MF-NV26,Nikola Vlašić,13,MF,26,178,72,HR,Croatia
HU-DF-ÁL31,Ádám Lang,2,DF,31,188,77,HU,Hungary
HU-DF-AM24,Attila Mocsi,3,DF,24,183,-,HU,Hungary
HU-DF-AS26,Attila Szalai,4,DF,26,191,83,HU,Hungary
HU-DF-BB22,Botond Balogh,5,DF,22,183,76,HU,Hungary
HU-DF-MD22,Márton Dárdai,23,DF,22,188,77,HU,Hungary
HU-DF-SG24,Sándor Gábor Szalai,25,DF,24,183,-,HU,Hungary
HU-DF-WO31,Willi Orbán,6,DF,31,185,87,HU,Hungary
HU-DF-ZN31,Zsolt Nagy,18,DF,31,188,-,HU,Hungary
HU-FW-AM29,Ádám Martin,9,FW,29,191,83,HU,Hungary
HU-FW-BV29,Barnabás Varga,19,FW,29,180,74,HU,Hungary
HU-FW-DG28,Dániel Gazdag,16,FW,28,178,76,HU,Hungary
HU-FW-DS23,Dominik Szoboszlai,10,FW,23,185,74,HU,Hungary
HU-FW-ZV19,Zalán Vancsa,24,FW,19,175,-,HU,Hungary
HU-GK-BT26,Balázs Tóth,22,GK,26,188,-,HU,Hungary
HU-GK-DD33,Dénes Dibusz,1,GK,33,188,81,HU,Hungary
HU-GK-PG34,Péter Gulácsi,12,GK,34,191,86,HU,Hungary
HU-MF-ÁN29,Ádám Nagy,8,MF,29,178,74,HU,Hungary
HU-MF-AS25,András Schäfer,13,MF,25,178,70,HU,Hungary
HU-MF-BB24,Bendegúz Bolla,14,MF,24,178,72,HU,Hungary
HU-MF-CS24,Callum Styles,17,MF,24,165,60,HU,Hungary
HU-MF-KH22,Krisztofer Horváth,21,MF,22,170,-,HU,Hungary
HU-MF-LK30,László Kleinheisler,15,MF,30,173,70,HU,Hungary
HU-MF-LN33,Loïc Négo,7,MF,33,180,64,HU,Hungary
HU-MF-MK20,Milos Kerkez,11,MF,20,175,-,HU,Hungary
HU-MF-RS27,Roland Sallai,20,MF,27,183,75,HU,Hungary
IT-DF-AB25,Alessandro Bastoni,23,DF,25,188,81,IT,Italy
IT-DF-AB26,Alessandro Buongiorno,4,DF,26,191,82,IT,Italy
IT-DF-FD26,Federico Dimarco,3,DF,26,180,72,IT,Italy
IT-DF-GD31,Giovanni Di Lorenzo,2,DF,31,180,83,IT,Italy
IT-DF-GM28,Gianluca Mancini,16,DF,28,188,77,IT,Italy
IT-DF-GS20,Giorgio Scalvini,15,DF,20,193,-,IT,Italy
IT-DF-ID21,Iyenoma Destiny Udogie,6,DF,21,185,-,IT,Italy
IT-DF-MD34,Matteo Darmian,13,DF,34,180,70,IT,Italy
IT-DF-RB24,Raoul Bellanova,25,DF,24,188,82,IT,Italy
IT-FW-GR24,Giacomo Raspadori,11,FW,24,170,69,IT,Italy
IT-FW-LL23,Lorenzo Lucca,,FW,23,201,-,IT,Italy
IT-FW-MR25,Mateo Retegui,9,FW,25,185,81,IT,Italy
IT-FW-RO27,Riccardo Orsolini,17,FW,27,183,73,IT,Italy
IT-GK-AM27,Alex Meret,21,GK,27,183,77,IT,Italy
IT-GK-GD25,Gianluigi Donnarumma,1,GK,25,196,90,IT,Italy
IT-GK-GV27,Guglielmo Vicario,12,GK,27,188,83,IT,Italy
IT-GK-MC24,Marco Carnesecchi,21,GK,24,191,83,IT,Italy
IT-MF-AC24,Andrea Cambiaso,24,MF,24,180,-,IT,Italy
IT-MF-DF24,Davide Frattesi,19,MF,24,183,74,IT,Italy
