id,Position,Name,actual_age,Club Team,national_id,Country
AT-MF-FG29,MF,Florian Grillitsch,28,Hoffenheim,AT,Austria
AT-MF-CB25,MF,Christoph Baumgartner,24,RB Leipzig,AT,Austria
AT-MF-KL27,MF,Konrad Laimer,27,Bayern Munich,AT,Austria
AT-MF-FK25,MF,Florian Kain,25,Cologne,AT,Austria
AT-MF-NS23,MF,Nicolas Seiwald,37,RB Leipzig,AT,Austria
AT-MF-RS24,MF,Romano Schmid,24,Werder Bremen,AT,Austria
AT-MF-AP23,MF,Alexander Prass,23,Sturm Graz,AT,Austria
AT-MF-MS23,MF,Matthias Seidl,23,Rapid Vienna,AT,Austria
AT-MF-TB22,MF,Thierno Ballo,22,Wolfsburg,AT,Austria
AT-FW-MA35,FW,Mark Arnautovic,35,Inter Milan,AT,Austria
AT-FW-MG30,FW,Michael Gregoritsch,30,Freiburg,AT,Austria
AT-FW-AW33,FW,Andreas Weimann,32,West Brom,AT,Austria
AT-MF-PW23,FW,Patrick Wimmer,23,Wolfsburg,AT,Austria
AT-FW-MG25,FW,Marco Grull,25,Rapid Wien,AT,Austria
AT-FW-ME27,FW,Maximilian Entrup,27,TSV Hartberg,AT,Austria
BE-GK-KC32,GK,Koen Casteels,31,VfL Wolfsburg,BE,Belgium
BE-GK-TK31,GK,Thomas Kaminski,31,Luton Town,BE,Belgium
BE-GK-MS32,GK,Matz Sels,32,Nottingham Forest,BE,Belgium
BE-DF-TC28,DF,Timothy Castagne,28,Fulham,BE,Belgium
BE-DF-MD23,DF,Maxim De Cuyper,23,Club Brugge,BE,Belgium
BE-DF-ZD20,DF,Zeno Debast,20,Anderlecht,BE,Belgium
BE-DF-WF26,DF,Wout Faes,26,Leicester City,BE,Belgium
BE-DF-TM32,DF,Thomas Meunier,32,Trabzonspor,BE,Belgium
BE-DF-JV37,DF,Jan Vertonghen,37,Anderlecht,BE,Belgium
BE-DF-AT24,DF,Arthur Theate,24,Stade Rennais,BE,Belgium
BE-DF-AW35,DF,Axel Witsel,35,Atletico Madrid,BE,Belgium
BE-MF-YC30,MF,Yannick Carrasco,30,Al Shabab,BE,Belgium
BE-MF-KD32,MF,Kevin De Bruyne,32,Manchester City,BE,Belgium
BE-MF-OM26,MF,Orel Mangala,26,Olympique Lyonnais,BE,Belgium
BE-MF-AO22,MF,Amadou Onana,22,Everton,BE,Belgium
BE-MF-YT27,MF,Youri Tielemans,27,Aston Villa,BE,Belgium
BE-MF-AV19,MF,Arthur Vermeeren,19,Atletico Madrid,BE,Belgium
BE-MF-AV21,MF,Aster Vranckx,21,vfL Wolfsburg,BE,Belgium
BE-FW-JB21,FW,Johan Bakayoko,21,PSV Eindhoven,BE,Belgium
BE-FW-CD23,FW,Charles De Ketelaere,23,Atalanta,BE,Belgium
BE-FW-JD22,FW,Jeremy Doku,22,Manchester City,BE,Belgium
BE-FW-RL31,FW,Romelu Lukaku,31,Roma,BE,Belgium
BE-FW-DL26,FW,Dodi Lukebakio,26,Sevilla,BE,Belgium
BE-FW-LO24,FW,Lois Openda,24,RB Leipzig,BE,Belgium
BE-FW-LT29,FW,Leandro Trossard,29,Arsenal,BE,Belgium
HR-GK-DL29,GK,Dominik Livaković,29,Fenerbahçe,HR,Croatia
HR-GK-II29,GK,Ivica Ivušić,29,Pafos,HR,Croatia
HR-GK-NL24,GK,Nediljko Labrović,24,Rijeka,HR,Croatia
HR-GK-DK24,GK,Dominik Kotarski,24,PAOK,HR,Croatia
HR-DF-DV35,DF,Domagoj Vida,35,AEK Athens,HR,Croatia
HR-DF-JJ29,DF,Josip Juranović,28,Union Berlin,HR,Croatia
HR-DF-BB31,DF,Borna Barišić,31,Rangers,HR,Croatia
HR-DF-JG22,DF,Joško Gvardiol,22,Manchester City,HR,Croatia
HR-DF-DC27,DF,Duje Ćaleta-Car,27,Lyon,HR,Croatia
HR-DF-BS26,DF,Borna Sosa,26,Ajax,HR,Croatia
HR-DF-JS24,DF,Josip Stanišić,24,Bayer Leverkusen,HR,Croatia
HR-DF-JS25,DF,Josip Šutalo,25,Ajax,HR,Croatia
HR-DF-ME26,DF,Martin Erlić,26,Sassuolo,HR,Croatia
HR-DF-MP26,DF,Marin Pongračić,26,Lecce,HR,Croatia
HR-DF-NK20,DF,Niko Kristian Sigur,20,Hajduk Split,HR,Croatia
HR-MF-LM39,MF,Luka Modrić,38,Real Madrid,HR,Croatia
HR-MF-MK30,MF,Mateo Kovačić,30,Manchester City,HR,Croatia
HR-MF-MB31,MF,Marcelo Brozović,31,Al Nassr,HR,Croatia
HR-MF-MP29,MF,Mario Pašalić,29,Atalanta,HR,Croatia
HR-MF-NV26,MF,Nikola Vlašić,28,Torino,HR,Croatia
HR-MF-LM26,MF,Lovro Majer,26,Wolfsburg,HR,Croatia
HR-MF-LI25,MF,Luka Ivanušec,25,Feyenoord,HR,Croatia
HR-MF-LS21,MF,Luka Sučić,21,Red Bull Salzburg,HR,Croatia
HR-MF-KJ27,MF,Kristijan Jakić,27,Augsburg,HR,Croatia
HR-MF-MB21,MF,Martin Baturina,21,Dinamo Zagreb,HR,Croatia
HR-MF-TF23,MF,Toni Fruk,23,Rijeka,HR,Croatia
HR-MF-PS20,MF,Petar Sučić,20,Dinamo Zagreb,HR,Croatia
HR-FW-IP35,FW,Ivan Perišić,35,Hajduk Split,HR,Croatia
HR-FW-AK33,FW,Andrej Kramarić,32,1899 Hoffenheim,HR,Croatia
HR-FW-BP29,FW,Bruno Petković,29,Dinamo Zagreb,HR,Croatia
HR-FW-MP29,FW,Marko Pjaca,29,Rijeka,HR,Croatia
HR-FW-AB33,FW,Ante Budimir,32,Osasuna,HR,Croatia
HR-FW-MP23,FW,Marco Pašalić,23,Rijeka,HR,Croatia
HR-FW-ML22,FW,Marin Ljubičić,22,LASK,HR,Croatia
HR-FW-IM21,FW,Igor Matanović,21,Karlsruher SC,HR,Croatia
CZ-GK-JS28,GK,Jindřich Staněk,28,Slavia Prague,CZ,Czechia
CZ-GK-VJ23,GK,Vítězslav Jaroš,23,Sturm Graz,CZ,Czechia
CZ-GK-MK24,GK,Matěj Kovář,24,Bayer Leverkusen,CZ,Czechia
CZ-DF-VC31,DF,Vladimír Coufal,31,West Ham United,CZ,Czechia
CZ-MF-TH31,DF,Tomáš Holeš,31,Slavia Prague,CZ,Czechia
CZ-DF-DZ23,DF,David Zima,23,Slavia Prague,CZ,Czechia
CZ-DF-LK25,DF,Ladislav Krejčí,25,Sparta Prague,CZ,Czechia
CZ-DF-DD26,DF,David Doudera,26,Slavia Prague,CZ,Czechia
CZ-DF-DJ24,DF,David Jurásek,24,Hoffenheim,CZ,Czechia
CZ-DF-RH24,DF,Robin Hranáč,24,Viktoria Plzen,CZ,Czechia
CZ-DF-TV23,DF,Tomáš Vlček,23,Slavia Prague,CZ,Czechia
CZ-DF-MV23,DF,Martin Vítík,23,Sparta Prague,CZ,Czechia
CZ-MF-TS29,MF,Tomáš Souček,29,West Ham,CZ,Czechia
CZ-MF-AB29,MF,Antonín Barák,29,Fiorentina,CZ,Czechia
CZ-MF-MS25,MF,Michal Sadílek,25,Twente,CZ,Czechia
CZ-FW-LP27,MF,Lukáš Provod,27,Slavia Prague,CZ,Czechia
CZ-MF-VC26,MF,Václav Černý,26,VfL Wolfsburg,CZ,Czechia
CZ-MF-OL25,MF,Ondřej Lingr,25,Feyenoord,CZ,Czechia
CZ-FW-MJ20,MF,Matěj Jurásek,20,Slavia Prague,CZ,Czechia
CZ-MF-PS23,MF,Pavel Sulc,23,Viktoria Plzen,CZ,Czechia
CZ-MF-LC23,MF,Lukáš Červ,23,Viktoria Plzen,CZ,Czechia
CZ-FW-PS28,FW,Patrik Schick,28,Bayer Leverkusen,CZ,Czechia
CZ-FW-AH21,FW,Adam Hlozek,21,Bayer Leverkusen,CZ,Czechia
CZ-FW-JK27,FW,Jan Kuchta,27,Sparta Prague,CZ,Czechia
CZ-FW-MC25,FW,Mojmír Chytil,25,Slavia Prague,CZ,Czechia
CZ-FW-TC29,FW,Tomáš Chorý,29,Viktoria Plzen,CZ,Czechia
FR-GK-BS30,GK,Brice Samba,30,Lens,FR,France
FR-GK-MM29,GK,Mike Maignan,28,AC Milan,FR,France
FR-GK-AA31,GK,Alphonse Areola,31,West Ham,FR,France
FR-DF-IK25,DF,Ibrahima Konaté,25,Liverpool,FR,France
FR-DF-WS23,DF,William Saliba,23,Arsenal,FR,France
FR-DF-JK25,DF,Jules Koundé,25,Barcelona,FR,France
FR-DF-DU25,DF,Dayot Upamecano,25,Bayern Munich,FR,France
FR-DF-JC31,DF,Jonathan Clauss,31,Marseille,FR,France
FR-DF-BP28,DF,Benjamin Pavard,28,Inter Milan,FR,France
FR-DF-TH26,DF,Theo Hernandez,26,AC Milan,FR,France
FR-DF-FM28,DF,Ferland Mendy,28,Real Madrid,FR,France
FR-MF-NK33,MF,N'Golo Kanté,33,Al-Ittihad,FR,France
FR-MF-EC21,MF,Eduardo Camavinga,21,Real Madrid,FR,France
FR-MF-AR29,MF,Adrien Rabiot,29,Juventus,FR,France
FR-MF-WZ18,MF,Warren Zaire-Emery,18,PSG,FR,France
FR-MF-YF25,MF,Youssouf Fofana,25,Monaco,FR,France
FR-MF-AT24,MF,Aurélien Tchouaméni,24,Real Madrid,FR,France
FR-FW-OG37,FW,Olivier Giroud,27,AC Milan,FR,France
FR-FW-AG33,FW,Antoine Griezmann,33,Atletico Madrid,FR,France
FR-FW-KM25,FW,Kylian Mbappé,25,PSG,FR,France
FR-FW-OD27,FW,Ousmane Dembélé,27,PSG,FR,France
FR-FW-RK25,FW,Randal Kolo Muani,25,PSG,FR,France
FR-FW-MT27,FW,Marcus Thuram,27,Inter Milan,FR,France
FR-FW-BB21,FW,Bradley Barcola,21,PSG,FR,France
FR-FW-KC27,FW,Kingsley Coman,27,Bayern Munich,FR,France
GE-GK-GL38,GK,Giorgi Loria,38,Dinamo Tbilisi,GE,Georgia
GE-GK-GM23,GK,Giorgi Mamardashvili,23,Valencia,GE,Georgia
GE-GK-LG25,GK,Luka Gugeshashvili,25,Qarabag,GE,Georgia
GE-DF-GK37,DF,Guram Kashia,36,Slovan Bratislava,GE,Georgia
GE-DF-OK29,DF,Otar Kakabadze,28,Cracovia,GE,Georgia
GE-DF-SK32,DF,Solomon Kvirkvelia,32,Al-Okhdood,GE,Georgia
GE-DF-LD29,DF,Lasha Dvali,29,APOEL,GE,Georgia
GE-DF-JT28,DF,Jemal Tabidze,28,Panetolikos,GE,Georgia
GE-DF-LL26,DF,Luka Lochoshvili,26,Cremonese,GE,Georgia
GE-DF-GG23,DF,Giorgi Gocholeishvili,23,Shakhtar Donetsk,GE,Georgia
GE-DF-GG33,DF,Giorgi Gvelesiani,33,Persepolis,GE,Georgia
GE-MF-GS18,MF,Gabriel Sigua,18,Basel,GE,Georgia
GE-MF-NK31,MF,Nika Kvekverskiri,31,Lech Poznan,GE,Georgia
GE-MF-OK28,MF,Otar Kiteishvili,28,Sturm Graz,GE,Georgia
GE-MF-SL29,MF,Saba Lobzhanidze,29,Atlanta United,GE,Georgia
GE-MF-ZD23,MF,Zuriko Davitashvili,23,Bordeaux,GE,Georgia
GE-MF-GC24,MF,Giorgi Chakvetadze,24,Watford,GE,Georgia
GE-MF-LS28,MF,Levan Shengelia,28,Panetlikos,GE,Georgia
GE-MF-GT27,MF,Giorgi Tsitaishvili,27,Dinamo Batumi,GE,Georgia
GE-FW-AM23,MF,Anzor Mekvabishvili,23,Universitatea Craiova,GE,Georgia
GE-MF-GK25,MF,Giorgi Kochorashvili,25,Levante,GE,Georgia
GE-MF-SA27,MF,Sandro Altunashvili,27,Wolfsberger AC,GE,Georgia
GE-FW-GK30,FW,Giorgi Kvilitaia,30,APOEL,GE,Georgia
GE-MF-KK23,FW,Khvicha Kvaratskhelia,23,Napoli,GE,Georgia
GE-FW-BZ30,FW,Budu Zivzivadze,30,Karlsruher SC,GE,Georgia
GE-MF-GM23,FW,Georges Mikautadze,23,Metz,GE,Georgia
DE-GK-MN38,GK,Manuel Neuer,38,Bayern Munich,DE,Germany
DE-GK-Mt32,GK,Marc-André ter Stegen,32,Barcelona,DE,Germany
DE-GK-AN27,GK,Alexander Nübel,27,Stuttgart,DE,Germany
DE-GK-OB34,GK,Oliver Baumann,34,Hoffenheim,DE,Germany
DE-DF-AR31,DF,Antonio Rüdiger,31,Real Madrid,DE,Germany
DE-DF-JT28,DF,Jonathan Tah,28,Bayer Leverkusen,DE,Germany
DE-DF-RK27,DF,Robin Koch,27,Eintracht Frankfurt,DE,Germany
DE-DF-MM27,DF,Maximilian Mittelstädt,27,Stuttgart,DE,Germany
DE-DF-NS24,DF,Nico Schlotterbeck,24,Borussia Dortmund,DE,Germany
DE-DF-WA27,DF,Waldemar Anton,27,Stuttgart,DE,Germany
DE-DF-BH27,DF,Benjamin Henrichs,27,RB Leipzig,DE,Germany
DE-DF-DR26,DF,David Raum,26,RB Leipzig,DE,Germany
DE-MF-JK29,DF/MF,Joshua Kimmich,29,Bayern Munich,DE,Germany
DE-MF-IG33,MF,Ilkay Gündoğan,33,Barcelona,DE,Germany
DE-MF-PG33,MF,Pascal Groß,33,Brighton,DE,Germany
DE-MF-RA29,MF,Robert Andrich,29,Bayer Leverkusen,DE,Germany
DE-MF-CF26,MF,Christoph Führich,26,Stuttgart,DE,Germany
DE-MF-AP20,MF,Alexander Pavlović,20,Bayern Munich,DE,Germany
DE-FW-LS28,MF,Leroy Sané,28,Bayern Munich,DE,Germany
DE-MF-TK34,MF,Toni Kroos,34,Real Madrid,DE,Germany
DE-MF-JM21,MF,Jamal Musiala,21,Bayern Munich ,DE,Germany
DE-MF-FW21,MF,Florian Wirtz,21,Bayer Leverkusen,DE,Germany
DE-FW-NF31,FW,Niclas Füllkrug,31,Borussia Dortmund,DE,Germany
DE-MF-KH25,FW,Kai Havertz,24,Arsenal,DE,Germany
DE-FW-TM34,FW,Thomas Müller,34,Bayern Munich,DE,Germany
DE-FW-DU27,FW,Deniz Undav,27,Stuttgart,DE,Germany
DE-FW-MB21,FW,Maximilian Beier,21,Hoffenheim,DE,Germany
HU-GK-PG34,GK,Péter Gulácsi,34,RB Leipzig,HU,Hungary
HU-GK-DD33,GK,Denes Dibusz,33,Ferencvaros,HU,Hungary
HU-GK-PS33,GK,Péter Szappanos,33,Paksi FC,HU,Hungary
HU-DF-BB22,DF,Botond Balogh,22,Parma,HU,Hungary
HU-DF-EB29,DF,Endre Botka,29,Ferencvaros,HU,Hungary
HU-DF-MD22,DF,Márton Dárdai,22,Hertha Berlin,HU,Hungary
HU-DF-AF34,DF,Attila Fiola,34,Fehervar,HU,Hungary
HU-MF-MK20,DF,Milos Kerkez,20,Bournemouth,HU,Hungary
HU-DF-AL31,DF,Ádám Lang,31,Omonia Nicosia,HU,Hungary
HU-DF-WO31,DF,Willi Orbán,31,RB Leipzig,HU,Hungary
HU-DF-ZN31,DF,Zsolt Nagy,31,Puskas Akademia,HU,Hungary
HU-DF-AS26,DF,Attila Szalai,26,Hoffenheim,HU,Hungary
HU-DF-LN33,DF,Loic Nego,33,Le Havre,HU,Hungary
HU-MF-BB24,MF,Bendegúz Bolla,24,Servette,HU,Hungary
HU-FW-DG28,MF,Dániel Gazdag,28,Philadelphia Union,HU,Hungary
HU-MF-KH22,FW,Krisztofer Horváth,22,Kecskemeti,HU,Hungary
HU-MF-LK30,MF,László Kleinheisler,30,Hajduk Split,HU,Hungary
HU-MF-MK22,MF,Mihály Kata,22,MTK Budapest,HU,Hungary
HU-MF-AN29,MF,Ádám Nagy,28,Spezia,HU,Hungary
HU-MF-AS25,MF,András Schäfer,25,Union Berlin,HU,Hungary
HU-FW-DS23,MF,Dominik Szoboszlai,23,Liverpool,HU,Hungary
HU-MF-CS24,MF,Callum Styles,24,Barnsley,HU,Hungary
HU-MF-RS27,FW,Roland Sallai,27,Freiburg,HU,Hungary
HU-FW-MA29,FW,Márton Ádám,29,Ulsan HD,HU,Hungary
HU-FW-BV29,FW,Barnabás Varga,29,Ferencvaros,HU,Hungary
HU-FW-KC22,FW,Kevin Csoboth,22,Ujpest FC,HU,Hungary
IT-GK-GD25,GK,Gianluigi Donnarumma,25,PSG,IT,Italy
IT-GK-GV27,GK,Guglielmo Vicario,27,Tottenham,IT,Italy
IT-GK-AM27,GK,Alex Meret,27,Napoli,IT,Italy
IT-GK-IP30,GK,Ivan Provedel,30,Lazio,IT,Italy
IT-DF-FA36,DF,Francesco Acerbi,36,Inter Milan,IT,Italy
IT-DF-AB25,DF,Alessandro Bastoni,25,Inter Milan,IT,Italy
IT-DF-RB24,DF,Raoul Bellanova,24,Torino,IT,Italy
IT-DF-AB26,DF,Alessandro Buongiorno,26,Torino,IT,Italy
IT-DF-RC22,DF,Riccardo Calafiori,22,Bologna,IT,Italy
IT-MF-AC24,DF,Andrea Cambiaso,24,Juventus,IT,Italy
IT-DF-MD34,DF,Matteo Darmian,34,Inter Milan,IT,Italy
IT-DF-GD31,DF,Giovanni Di Lorenzo,30,Napoli,IT,Italy
IT-DF-FD26,DF,Federico Dimarco,26,Inter Milan,IT,Italy
IT-DF-GM28,DF,Gianluca Mancini,28,Roma,IT,Italy
IT-DF-GS20,DF,Giorgio Scalvini,20,Atalanta,IT,Italy
IT-MF-J32,MF,Jorginho,32,Arsenal,IT,Italy
IT-MF-NB27,MF,Nicolò Barella,22,Inter Milan,IT,Italy
IT-MF-BC29,MF,Bryan Cristante,29,Roma,IT,Italy
IT-MF-NF23,MF,Nicolò Fagioli,23,Juventus,IT,Italy
IT-MF-MF26,MF,Michael Folorunsho,26,Verona,IT,Italy
IT-MF-DF24,MF,Davide Frattesi,24,Inter Milan,IT,Italy
IT-MF-LP28,MF,Lorenzo Pellegrini,27,Roma,IT,Italy
IT-MF-SR22,MF,Samuele Ricci,22,Torino,IT,Italy
IT-MF-FC26,FW,Federico Chiesa,26,Juventus,IT,Italy
IT-FW-GR24,FW,Giacomo Raspadori,24,Napoli,IT,Italy
IT-FW-SE31,FW,Stephan El Shaarawy,31,Roma,IT,Italy
IT-FW-MR25,FW,Mateo Retegui,25,Genoa,IT,Italy
IT-MF-MZ29,FW,Mattia Zaccagni,29,Lazio,IT,Italy
IT-FW-RO27,FW,Riccardo Orsolini,27,Bologna,IT,Italy
IT-FW-GS25,FW,Gianluca Scamacca,25,Atalanta,IT,Italy
NL-GK-BV21,GK,Bart Verbruggen,21,Brighton,NL,Netherlands
NL-GK-MF31,GK,Mark Flekken,30,Brentford,NL,Netherlands
NL-GK-JB26,GK,Justin Bijlow,26,Feyenoord,NL,Netherlands
NL-DF-Vv33,DF,Virgil van Dijk,32,Liverpool,NL,Netherlands
NL-DF-Sd32,DF,Stefan de Vrij,32,Inter Milan,NL,Netherlands
NL-DF-MV19,DF,Mickey van de Ven,19,Tottenham Hotspur,NL,Netherlands
NL-DF-DB34,DF,Daley Blind,34,Girona,NL,Netherlands
NL-DF-Md25,DF,Matthijs de Ligt,24,Bayern Munich,NL,Netherlands
NL-DF-NA29,DF,Nathan Aké,29,Manchester City,NL,Netherlands
NL-MF-DD28,DF,Denzel Dumfries,28,Inter Milan,NL,Netherlands
NL-DF-LG24,DF,Lutsharel Geertruida,24,Feyenoord,NL,Netherlands
NL-DF-JF23,DF,Jeremie Frimpong,23,Bayer Leverkusen,NL,Netherlands
NL-MF-TK26,MF,Teun Koopmeiners,26,Atalanta,NL,Netherlands
NL-MF-RG22,MF,Ryan Gravenberch,22,Liverpool,NL,Netherlands
NL-MF-Fd27,MF,Frenkie de Jong,27,Barcelona,NL,Netherlands
NL-MF-TR25,MF,Tijjani Reijnders,25,AC Milan,NL,Netherlands
NL-MF-XS21,MF,Xavi Simons,21,RB Leipzig,NL,Netherlands
NL-MF-JV25,MF,Joey Veerman,25,PSV,NL,Netherlands
NL-MF-JS27,MF,Jerdy Schouten,27,PSV,NL,Netherlands
NL-MF-GW33,MF,Gini Wijnaldum,33,Al-Ettifaq,NL,Netherlands
NL-FW-SB26,FW,Steven Bergwijn,26,Ajax,NL,Netherlands
NL-FW-MD30,FW,Memphis Depay,30,Atletico Madrid,NL,Netherlands
NL-FW-BB22,FW,Brian Brobbey,22,Ajax,NL,Netherlands
NL-FW-WW32,FW,Wout Weghorst,31,Hoffenheim,NL,Netherlands
NL-FW-DM25,FW,Donyell Malen,25,Borussia Dortmund,NL,Netherlands
NL-FW-CG25,FW,Cody Gakpo,25,Liverpool,NL,Netherlands
PL-GK-WS34,GK,Wojciech Szczęsny,34,Juventus,PL,Poland
PL-GK-LS33,GK,Łukasz Skorupski,33,Bologna,PL,Poland
PL-GK-MB24,GK,Marcin Bułka,24,Nice,PL,Poland
PL-GK-OZ19,GK,Oliwier Zych,19,Puszcza Niepołomice,PL,Poland
PL-DF-JB28,DF,Jan Bednarek,28,Southampton,PL,Poland
PL-DF-BB32,DF,Bartosz Bereszyński,31,Empoli,PL,Poland
PL-DF-JK24,DF,Jakub Kiwior,24,Arsenal,PL,Poland
PL-DF-TP25,DF,Tymoteusz Puchacz,25,Kaiserlsuatern,PL,Poland
PL-DF-BS33,DF,Bartosz Salamon,33,Lech Poznan,PL,Poland
PL-DF-PD29,DF,Paweł Dawidowicz,29,Verona,PL,Poland
PL-DF-PB28,DF,Paweł Bochniewicz,28,Heerenveen,PL,Poland
PL-DF-SW24,DF,Sebastian Walukiewicz,24,Empoli,PL,Poland
PL-MF-KG36,MF,Kamil Grosicki,35,Pogon Szczecin,PL,Poland
PL-MF-PZ30,MF,Piotr Zieliński,30,Napoli,PL,Poland
PL-MF-PF29,MF,Przemysław Frankowski,29,Lens,PL,Poland
PL-MF-SS25,MF,Sebastian Szymański,25,Fenerbahce,PL,Poland
PL-MF-JM25,MF,Jakub Moder,25,Brighton,PL,Poland
PL-MF-DS29,MF,Damian Szymański,28,AEK Athens,PL,Poland
PL-MF-NZ22,MF,Nicola Zalewski,28,Roma,PL,Poland
PL-MF-BS42,MF,Bartosz Ślusarski,42,Atlanta United,PL,Poland
PL-MF-MS24,MF,Michał Skóraś,24,Club Brugge,PL,Poland
PL-MF-JP26,MF,Jakub Piotrowski,26,Ludogorets Razgrad,PL,Poland
